,Uni,Links,Target Link
45,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,mehmetakif.edu.tr,https://avesis.mehmetakif.edu.tr/proxy/search/_search
46,BURSA TEKNİK ÜNİVERSİTESİ,mehmetakif.edu.tr,https://avesis.mehmetakif.edu.tr/proxy/search/_search
47,BURSA ULUDAĞ ÜNİVERSİTESİ,uludag.edu.tr/,https://avesis.uludag.edu.tr//proxy/search/_search
48,ÇAĞ ÜNİVERSİTESİ,cag.edu.tr/,https://avesis.cag.edu.tr//proxy/search/_search
49,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,comu.edu.tr,https://avesis.comu.edu.tr/proxy/search/_search
50,ÇANKAYA ÜNİVERSİTESİ,cankaya.edu.tr/,https://avesis.cankaya.edu.tr//proxy/search/_search
51,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,karatekin.edu.tr,https://avesis.karatekin.edu.tr/proxy/search/_search
52,ÇUKUROVA ÜNİVERSİTESİ,cu.edu.tr,https://avesis.cu.edu.tr/proxy/search/_search
53,DEMİROĞLU BİLİM ÜNİVERSİTESİ,demiroglu.bilim.edu.tr,https://avesis.demiroglu.bilim.edu.tr/proxy/search/_search
54,DİCLE ÜNİVERSİTESİ,dicle.edu.tr,https://avesis.dicle.edu.tr/proxy/search/_search
55,DOĞUŞ ÜNİVERSİTESİ,dogus.edu.tr,https://avesis.dogus.edu.tr/proxy/search/_search
56,DOKUZ EYLÜL ÜNİVERSİTESİ,deu.edu.tr,https://avesis.deu.edu.tr/proxy/search/_search
57,DÜZCE ÜNİVERSİTESİ,duzce.edu.tr/,https://avesis.duzce.edu.tr//proxy/search/_search
58,EGE ÜNİVERSİTESİ,ege.edu.tr,https://avesis.ege.edu.tr/proxy/search/_search
59,ERCİYES ÜNİVERSİTESİ,erciyes.edu.tr,https://avesis.erciyes.edu.tr/proxy/search/_search
60,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,erzincan.edu.tr,https://avesis.erzincan.edu.tr/proxy/search/_search
61,ERZURUM TEKNİK ÜNİVERSİTESİ,erzurum.edu.tr/,https://avesis.erzurum.edu.tr//proxy/search/_search
62,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ogu.edu.tr,https://avesis.ogu.edu.tr/proxy/search/_search
63,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,eskisehir.edu.tr/,https://avesis.eskisehir.edu.tr//proxy/search/_search
64,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,fsm.edu.tr,https://avesis.fsm.edu.tr/proxy/search/_search
65,FENERBAHÇE ÜNİVERSİTESİ,fbu.edu.tr,https://avesis.fbu.edu.tr/proxy/search/_search
66,FIRAT ÜNİVERSİTESİ,firat.edu.tr/,https://avesis.firat.edu.tr//proxy/search/_search
67,GALATASARAY ÜNİVERSİTESİ,gsu.edu.tr,https://avesis.gsu.edu.tr/proxy/search/_search
68,GAZİ ÜNİVERSİTESİ,gsu.edu.tr,https://avesis.gsu.edu.tr/proxy/search/_search
69,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,gibtu.edu.tr/,https://avesis.gibtu.edu.tr//proxy/search/_search
70,GAZİANTEP ÜNİVERSİTESİ,gantep.edu.tr,https://avesis.gantep.edu.tr/proxy/search/_search
71,GEBZE TEKNİK ÜNİVERSİTESİ,gtu.edu.tr,https://avesis.gtu.edu.tr/proxy/search/_search
72,GİRESUN ÜNİVERSİTESİ,giresun.edu.tr/,https://avesis.giresun.edu.tr//proxy/search/_search
73,GÜMÜŞHANE ÜNİVERSİTESİ,gumushane.edu.tr,https://avesis.gumushane.edu.tr/proxy/search/_search
74,HACETTEPE ÜNİVERSİTESİ,gumushane.edu.tr,https://avesis.gumushane.edu.tr/proxy/search/_search
75,HAKKARİ ÜNİVERSİTESİ,hakkari.edu.tr / www.hu.edu.tr,https://avesis.hakkari.edu.tr / www.hu.edu.tr/proxy/search/_search
76,HALİÇ ÜNİVERSİTESİ,halic.edu.tr,https://avesis.halic.edu.tr/proxy/search/_search
77,HARRAN ÜNİVERSİTESİ,harran.edu.tr/,https://avesis.harran.edu.tr//proxy/search/_search
78,HASAN KALYONCU ÜNİVERSİTESİ,hku.edu.tr,https://avesis.hku.edu.tr/proxy/search/_search
79,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,mku.edu.tr,https://avesis.mku.edu.tr/proxy/search/_search
80,HİTİT ÜNİVERSİTESİ,hitit.edu.tr/,https://avesis.hitit.edu.tr//proxy/search/_search
81,IĞDIR ÜNİVERSİTESİ,igdir.edu.tr,https://avesis.igdir.edu.tr/proxy/search/_search
82,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,igdir.edu.tr,https://avesis.igdir.edu.tr/proxy/search/_search
83,IŞIK ÜNİVERSİTESİ,isikun.edu.tr/,https://avesis.isikun.edu.tr//proxy/search/_search
84,İBN HALDUN ÜNİVERSİTESİ,ihu.edu.tr,https://avesis.ihu.edu.tr/proxy/search/_search
85,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,bilkent.edu.tr/,https://avesis.bilkent.edu.tr//proxy/search/_search
86,İNÖNÜ ÜNİVERSİTESİ,inonu.edu.tr/,https://avesis.inonu.edu.tr//proxy/search/_search
87,İSKENDERUN TEKNİK ÜNİVERSİTESİ,iste.edu.tr,https://avesis.iste.edu.tr/proxy/search/_search
88,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,29mayis.edu.tr,https://avesis.29mayis.edu.tr/proxy/search/_search
89,İSTANBUL AREL ÜNİVERSİTESİ,arel.edu.tr,https://avesis.arel.edu.tr/proxy/search/_search
90,İSTANBUL ATLAS ÜNİVERSİTESİ,atlas.edu.tr,https://avesis.atlas.edu.tr/proxy/search/_search
91,İSTANBUL AYDIN ÜNİVERSİTESİ,aydin.edu.tr,https://avesis.aydin.edu.tr/proxy/search/_search
92,İSTANBUL BEYKENT ÜNİVERSİTESİ,beykent.edu.tr,https://avesis.beykent.edu.tr/proxy/search/_search
93,İSTANBUL BİLGİ ÜNİVERSİTESİ,bilgi.edu.tr,https://avesis.bilgi.edu.tr/proxy/search/_search
94,İSTANBUL ESENYURT ÜNİVERSİTESİ,esenyurt.edu.tr,https://avesis.esenyurt.edu.tr/proxy/search/_search
95,İSTANBUL GALATA ÜNİVERSİTESİ,galata.edu.tr,https://avesis.galata.edu.tr/proxy/search/_search
96,İSTANBUL GEDİK ÜNİVERSİTESİ,gedik.edu.tr,https://avesis.gedik.edu.tr/proxy/search/_search
97,İSTANBUL GELİŞİM ÜNİVERSİTESİ,gelisim.edu.tr,https://avesis.gelisim.edu.tr/proxy/search/_search
98,İSTANBUL KENT ÜNİVERSİTESİ,kent.edu.tr,https://avesis.kent.edu.tr/proxy/search/_search
99,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,iku.edu.tr,https://avesis.iku.edu.tr/proxy/search/_search
100,İSTANBUL MEDENİYET ÜNİVERSİTESİ,medeniyet.edu.tr,https://avesis.medeniyet.edu.tr/proxy/search/_search
101,İSTANBUL MEDİPOL ÜNİVERSİTESİ,medipol.edu.tr,https://avesis.medipol.edu.tr/proxy/search/_search
102,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,nisantasi.edu.tr,https://avesis.nisantasi.edu.tr/proxy/search/_search
103,İSTANBUL OKAN ÜNİVERSİTESİ,okan.edu.tr,https://avesis.okan.edu.tr/proxy/search/_search
104,İSTANBUL RUMELİ ÜNİVERSİTESİ,rumeli.edu.tr,https://avesis.rumeli.edu.tr/proxy/search/_search
105,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,izu.edu.tr/,https://avesis.izu.edu.tr//proxy/search/_search
106,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,issb.edu.tr,https://avesis.issb.edu.tr/proxy/search/_search
107,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,istun.edu.tr,https://avesis.istun.edu.tr/proxy/search/_search
108,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,sisli.edu.tr,https://avesis.sisli.edu.tr/proxy/search/_search
109,İSTANBUL TEKNİK ÜNİVERSİTESİ,itu.edu.tr,https://avesis.itu.edu.tr/proxy/search/_search
110,İSTANBUL TİCARET ÜNİVERSİTESİ,ticaret.edu.tr,https://avesis.ticaret.edu.tr/proxy/search/_search
111,İSTANBUL TOPKAPI ÜNİVERSİTESİ,topkapi.edu.tr,https://avesis.topkapi.edu.tr/proxy/search/_search
112,İSTANBUL ÜNİVERSİTESİ,istanbul.edu.tr,https://avesis.istanbul.edu.tr/proxy/search/_search
113,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,istanbul.edu.tr,https://avesis.istanbul.edu.tr/proxy/search/_search
114,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,yeniyuzyil.edu.tr,https://avesis.yeniyuzyil.edu.tr/proxy/search/_search
115,İSTİNYE ÜNİVERSİTESİ,istinye.edu.tr,https://avesis.istinye.edu.tr/proxy/search/_search
116,İZMİR BAKIRÇAY ÜNİVERSİTESİ,istinye.edu.tr,https://avesis.istinye.edu.tr/proxy/search/_search
117,İZMİR DEMOKRASİ ÜNİVERSİTESİ,idu.edu.tr,https://avesis.idu.edu.tr/proxy/search/_search
118,İZMİR EKONOMİ ÜNİVERSİTESİ,ieu.edu.tr,https://avesis.ieu.edu.tr/proxy/search/_search
119,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,ikc.edu.tr/,https://avesis.ikc.edu.tr//proxy/search/_search
120,İZMİR KAVRAM MESLEK YÜKSEKOKULU,kavram.edu.tr,https://avesis.kavram.edu.tr/proxy/search/_search
121,İZMİR TINAZTEPE ÜNİVERSİTESİ,tinaztepe.edu.tr,https://avesis.tinaztepe.edu.tr/proxy/search/_search
122,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,iyte.edu.tr/,https://avesis.iyte.edu.tr//proxy/search/_search
123,KADİR HAS ÜNİVERSİTESİ,khas.edu.tr,https://avesis.khas.edu.tr/proxy/search/_search
124,KAFKAS ÜNİVERSİTESİ,kafkas.edu.tr,https://avesis.kafkas.edu.tr/proxy/search/_search
125,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,istiklal.edu.tr,https://avesis.istiklal.edu.tr/proxy/search/_search
126,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,ksu.edu.tr,https://avesis.ksu.edu.tr/proxy/search/_search
127,KAPADOKYA ÜNİVERSİTESİ,kapadokya.edu.tr,https://avesis.kapadokya.edu.tr/proxy/search/_search
128,KARABÜK ÜNİVERSİTESİ,karabuk.edu.tr/,https://avesis.karabuk.edu.tr//proxy/search/_search
129,KARADENİZ TEKNİK ÜNİVERSİTESİ,ktu.edu.tr,https://avesis.ktu.edu.tr/proxy/search/_search
130,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,kmu.edu.tr,https://avesis.kmu.edu.tr/proxy/search/_search
131,KASTAMONU ÜNİVERSİTESİ,kastamonu.edu.tr/index.php/tr/,https://avesis.kastamonu.edu.tr/index.php/tr//proxy/search/_search
132,KAYSERİ ÜNİVERSİTESİ,kayseri.edu.tr,https://avesis.kayseri.edu.tr/proxy/search/_search
133,KIRIKKALE ÜNİVERSİTESİ,kayseri.edu.tr,https://avesis.kayseri.edu.tr/proxy/search/_search
134,KIRKLARELİ ÜNİVERSİTESİ,klu.edu.tr/,https://avesis.klu.edu.tr//proxy/search/_search
135,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,ahievran.edu.tr,https://avesis.ahievran.edu.tr/proxy/search/_search
136,KİLİS 7 ARALIK ÜNİVERSİTESİ,kilis.edu.tr,https://avesis.kilis.edu.tr/proxy/search/_search
137,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,kocaelisaglik.edu.tr,https://avesis.kocaelisaglik.edu.tr/proxy/search/_search
138,KOCAELİ ÜNİVERSİTESİ,kocaeli.edu.tr/,https://avesis.kocaeli.edu.tr//proxy/search/_search
139,KOÇ ÜNİVERSİTESİ,ku.edu.tr,https://avesis.ku.edu.tr/proxy/search/_search
140,KONYA GIDA VE TARIM ÜNİVERSİTESİ,gidatarim.edu.tr/,https://avesis.gidatarim.edu.tr//proxy/search/_search
141,KONYA TEKNİK ÜNİVERSİTESİ,ktun.edu.tr/,https://avesis.ktun.edu.tr//proxy/search/_search
142,KTO KARATAY ÜNİVERSİTESİ,karatay.edu.tr,https://avesis.karatay.edu.tr/proxy/search/_search
143,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,karatay.edu.tr,https://avesis.karatay.edu.tr/proxy/search/_search
144,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,ksbu.edu.tr/,https://avesis.ksbu.edu.tr//proxy/search/_search
145,LOKMAN HEKİM ÜNİVERSİTESİ,lokmanhekim.edu.tr,https://avesis.lokmanhekim.edu.tr/proxy/search/_search
146,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,ozal.edu.tr,https://avesis.ozal.edu.tr/proxy/search/_search
147,MALTEPE ÜNİVERSİTESİ,maltepe.edu.tr/,https://avesis.maltepe.edu.tr//proxy/search/_search
148,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,cbu.edu.tr,https://avesis.cbu.edu.tr/proxy/search/_search
149,MARDİN ARTUKLU ÜNİVERSİTESİ,artuklu.edu.tr/,https://avesis.artuklu.edu.tr//proxy/search/_search
150,MARMARA ÜNİVERSİTESİ,marmara.edu.tr,https://avesis.marmara.edu.tr/proxy/search/_search
151,MEF ÜNİVERSİTESİ,mef.edu.tr,https://avesis.mef.edu.tr/proxy/search/_search
152,MERSİN ÜNİVERSİTESİ,mersin.edu.tr/idari/genel-sekreterlik,https://avesis.mersin.edu.tr/idari/genel-sekreterlik/proxy/search/_search
153,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,msgsu.edu.tr,https://avesis.msgsu.edu.tr/proxy/search/_search
154,MUDANYA ÜNİVERSİTESİ,msgsu.edu.tr,https://avesis.msgsu.edu.tr/proxy/search/_search
155,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,mu.edu.tr/,https://avesis.mu.edu.tr//proxy/search/_search
156,MUNZUR ÜNİVERSİTESİ,munzur.edu.tr,https://avesis.munzur.edu.tr/proxy/search/_search
157,MUŞ ALPARSLAN ÜNİVERSİTESİ,alparslan.edu.tr,https://avesis.alparslan.edu.tr/proxy/search/_search
158,NECMETTİN ERBAKAN ÜNİVERSİTESİ,erbakan.edu.tr,https://avesis.erbakan.edu.tr/proxy/search/_search
159,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,nevsehir.edu.tr/,https://avesis.nevsehir.edu.tr//proxy/search/_search
160,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,ohu.edu.tr/,https://avesis.ohu.edu.tr//proxy/search/_search
161,NUH NACİ YAZGAN ÜNİVERSİTESİ,nny.edu.tr,https://avesis.nny.edu.tr/proxy/search/_search
162,ONDOKUZ MAYIS ÜNİVERSİTESİ,omu.edu.tr/,https://avesis.omu.edu.tr//proxy/search/_search
163,ORDU ÜNİVERSİTESİ,odu.edu.tr,https://avesis.odu.edu.tr/proxy/search/_search
164,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,metu.edu.tr,https://avesis.metu.edu.tr/proxy/search/_search
165,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,osmaniye.edu.tr,https://avesis.osmaniye.edu.tr/proxy/search/_search
166,OSTİM TEKNİK ÜNİVERSİTESİ,ostimteknik.edu.tr,https://avesis.ostimteknik.edu.tr/proxy/search/_search
167,ÖZYEĞİN ÜNİVERSİTESİ,ozyegin.edu.tr,https://avesis.ozyegin.edu.tr/proxy/search/_search
168,PAMUKKALE ÜNİVERSİTESİ,pau.edu.tr,https://avesis.pau.edu.tr/proxy/search/_search
169,PİRİ REİS ÜNİVERSİTESİ,pirireis.edu.tr,https://avesis.pirireis.edu.tr/proxy/search/_search
170,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,pirireis.edu.tr,https://avesis.pirireis.edu.tr/proxy/search/_search
171,SABANCI ÜNİVERSİTESİ,sabanciuniv.edu,https://avesis.sabanciuniv.edu/proxy/search/_search
172,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,sbu.edu.tr,https://avesis.sbu.edu.tr/proxy/search/_search
173,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,subu.edu.tr,https://avesis.subu.edu.tr/proxy/search/_search
174,SAKARYA ÜNİVERSİTESİ,sakarya.edu.tr,https://avesis.sakarya.edu.tr/proxy/search/_search
175,SAMSUN ÜNİVERSİTESİ,samsun.edu.tr,https://avesis.samsun.edu.tr/proxy/search/_search
176,SANKO ÜNİVERSİTESİ,sanko.edu.tr,https://avesis.sanko.edu.tr/proxy/search/_search
177,SELÇUK ÜNİVERSİTESİ,selcuk.edu.tr/,https://avesis.selcuk.edu.tr//proxy/search/_search
178,SİİRT ÜNİVERSİTESİ,selcuk.edu.tr/,https://avesis.selcuk.edu.tr//proxy/search/_search
179,SİNOP ÜNİVERSİTESİ,sinop.edu.tr ,https://avesis.sinop.edu.tr /proxy/search/_search
180,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,sivas.edu.tr/,https://avesis.sivas.edu.tr//proxy/search/_search
181,SİVAS CUMHURİYET ÜNİVERSİTESİ,cumhuriyet.edu.tr,https://avesis.cumhuriyet.edu.tr/proxy/search/_search
182,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,sdu.edu.tr/,https://avesis.sdu.edu.tr//proxy/search/_search
183,ŞIRNAK ÜNİVERSİTESİ,sirnak.edu.tr,https://avesis.sirnak.edu.tr/proxy/search/_search
184,TARSUS ÜNİVERSİTESİ,tarsus.edu.tr,https://avesis.tarsus.edu.tr/proxy/search/_search
185,TED ÜNİVERSİTESİ,tedu.edu.tr,https://avesis.tedu.edu.tr/proxy/search/_search
186,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,nku.edu.tr,https://avesis.nku.edu.tr/proxy/search/_search
187,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,etu.edu.tr,https://avesis.etu.edu.tr/proxy/search/_search
188,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,gop.edu.tr,https://avesis.gop.edu.tr/proxy/search/_search
189,TOROS ÜNİVERSİTESİ,toros.edu.tr,https://avesis.toros.edu.tr/proxy/search/_search
190,TRABZON ÜNİVERSİTESİ,trabzon.edu.tr,https://avesis.trabzon.edu.tr/proxy/search/_search
191,TRAKYA ÜNİVERSİTESİ,trakya.edu.tr/,https://avesis.trakya.edu.tr//proxy/search/_search
192,TÜRK HAVA KURUMU ÜNİVERSİTESİ,thk.edu.tr,https://avesis.thk.edu.tr/proxy/search/_search
193,TÜRK-ALMAN ÜNİVERSİTESİ,tau.edu.tr/,https://avesis.tau.edu.tr//proxy/search/_search
194,UFUK ÜNİVERSİTESİ,ufuk.edu.tr,https://avesis.ufuk.edu.tr/proxy/search/_search
195,UŞAK ÜNİVERSİTESİ,usak.edu.tr,https://avesis.usak.edu.tr/proxy/search/_search
196,ÜSKÜDAR ÜNİVERSİTESİ,uskudar.edu.tr,https://avesis.uskudar.edu.tr/proxy/search/_search
197,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,yyu.edu.tr/,https://avesis.yyu.edu.tr//proxy/search/_search
198,YALOVA ÜNİVERSİTESİ,yalova.edu.tr/rektorluk,https://avesis.yalova.edu.tr/rektorluk/proxy/search/_search
199,YAŞAR ÜNİVERSİTESİ,yasar.edu.tr,https://avesis.yasar.edu.tr/proxy/search/_search
200,YEDİTEPE ÜNİVERSİTESİ,yeditepe.edu.tr/,https://avesis.yeditepe.edu.tr//proxy/search/_search
201,YILDIZ TEKNİK ÜNİVERSİTESİ,yildiz.edu.tr,https://avesis.yildiz.edu.tr/proxy/search/_search
202,YOZGAT BOZOK ÜNİVERSİTESİ,bozok.edu.tr/,https://avesis.bozok.edu.tr//proxy/search/_search
203,YÜKSEK İHTİSAS ÜNİVERSİTESİ,bozok.edu.tr/,https://avesis.bozok.edu.tr//proxy/search/_search
204,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,beun.edu.tr,https://avesis.beun.edu.tr/proxy/search/_search
